issue_type,object_name,path,tasks
multi_mesh,flat_stove,articulated_objects/flat_stove.xml,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove;KITCHEN_SCENE3_put_the_moka_pot_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it;KITCHEN_SCENE8_put_both_moka_pots_on_the_stove;KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove;KITCHEN_SCENE8_turn_off_the_stove;KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf;KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet;KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf;KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet;KITCHEN_SCENE9_turn_on_the_stove;KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside;pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate;pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_plate;put_the_bowl_on_the_stove;put_the_bowl_on_top_of_the_cabinet;put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove
multi_mesh,microwave,articulated_objects/microwave.xml,KITCHEN_SCENE6_close_the_microwave;KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it;KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug;KITCHEN_SCENE7_open_the_microwave;KITCHEN_SCENE7_put_the_white_bowl_on_the_plate;KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate
multi_mesh,moka_pot,turbosquid_objects/moka_pot/moka_pot.xml,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove;KITCHEN_SCENE3_put_the_moka_pot_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it;KITCHEN_SCENE8_put_both_moka_pots_on_the_stove;KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove;KITCHEN_SCENE8_turn_off_the_stove
multi_mesh,white_cabinet,articulated_objects/white_cabinet.xml,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack;KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet;KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet;KITCHEN_SCENE5_put_the_black_bowl_on_the_plate;KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet
multi_mesh,wine_bottle,turbosquid_objects/wine_bottle/wine_bottle.xml,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_plate;put_the_bowl_on_the_stove;put_the_bowl_on_top_of_the_cabinet;put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove
multi_mesh,wine_rack,turbosquid_objects/wine_rack/wine_rack.xml,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_plate;put_the_bowl_on_the_stove;put_the_bowl_on_top_of_the_cabinet;put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove
multi_mesh,wooden_cabinet,articulated_objects/wooden_cabinet.xml,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet;KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it;KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet;KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet;KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it;KITCHEN_SCENE1_put_the_black_bowl_on_the_plate;KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet;KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate;KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate;KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate;KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle;KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside;pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate;pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_plate;put_the_bowl_on_the_stove;put_the_bowl_on_top_of_the_cabinet;put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove
no_obj_has_stl_or_msh,cookies,stable_hope_objects/cookies/cookies.xml,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate;pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
no_obj_has_stl_or_msh,microwave,articulated_objects/microwave.xml,KITCHEN_SCENE6_close_the_microwave;KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it;KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug;KITCHEN_SCENE7_open_the_microwave;KITCHEN_SCENE7_put_the_white_bowl_on_the_plate;KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate
no_obj_has_stl_or_msh,white_cabinet,articulated_objects/white_cabinet.xml,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack;KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet;KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet;KITCHEN_SCENE5_put_the_black_bowl_on_the_plate;KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet;KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet
xml_primitive_geom_part,flat_stove,articulated_objects/flat_stove.xml,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove;KITCHEN_SCENE3_put_the_moka_pot_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it;KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it;KITCHEN_SCENE8_put_both_moka_pots_on_the_stove;KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove;KITCHEN_SCENE8_turn_off_the_stove;KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf;KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet;KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf;KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet;KITCHEN_SCENE9_turn_on_the_stove;KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it;open_the_middle_drawer_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside;pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate;pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate;pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate;pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate;push_the_plate_to_the_front_of_the_stove;put_the_bowl_on_the_plate;put_the_bowl_on_the_stove;put_the_bowl_on_top_of_the_cabinet;put_the_cream_cheese_in_the_bowl;put_the_wine_bottle_on_the_rack;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove
xml_primitive_geom_part,microwave,articulated_objects/microwave.xml,KITCHEN_SCENE6_close_the_microwave;KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it;KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug;KITCHEN_SCENE7_open_the_microwave;KITCHEN_SCENE7_put_the_white_bowl_on_the_plate;KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate
